Image number,Brightness,Red,Green,Blue,Object,Reliability,Size of box
8,143.98747777777777,140.196125,146.18287222222222,141.13171666666668,car,83.49347114562988,440.0
8,143.98747777777777,140.196125,146.18287222222222,141.13171666666668,car,96.4264988899231,1650.0
9,111.3176,106.642,111.45170277777778,112.83965555555557,car,80.21504878997803,220.0
10,129.54285833333333,127.068725,130.20356388888888,129.16079444444443,car,91.6713297367096,26607.0
10,129.54285833333333,127.068725,130.20356388888888,129.16079444444443,car,96.5018093585968,4838.0
10,129.54285833333333,127.068725,130.20356388888888,129.16079444444443,car,63.69761824607849,6300.0
10,129.54285833333333,127.068725,130.20356388888888,129.16079444444443,car,95.32564878463744,2430.0
10,129.54285833333333,127.068725,130.20356388888888,129.16079444444443,car,79.12082076072693,1976.0
10,129.54285833333333,127.068725,130.20356388888888,129.16079444444443,car,94.07362937927246,1833.0
11,137.23706666666666,131.53480833333333,137.6663472222222,138.499925,person,62.649357318878174,84.0
11,137.23706666666666,131.53480833333333,137.6663472222222,138.499925,motorbike,80.75385093688965,120.0
12,130.67415833333334,126.82532222222224,132.3289388888889,128.8632861111111,car,99.906986951828,4608.0
12,130.67415833333334,126.82532222222224,132.3289388888889,128.8632861111111,car,71.17677927017212,575.0
12,130.67415833333334,126.82532222222224,132.3289388888889,128.8632861111111,car,75.88680982589722,288.0
12,130.67415833333334,126.82532222222224,132.3289388888889,128.8632861111111,car,73.14755916595459,182.0
12,130.67415833333334,126.82532222222224,132.3289388888889,128.8632861111111,car,88.82247805595398,182.0
12,130.67415833333334,126.82532222222224,132.3289388888889,128.8632861111111,car,65.0585949420929,110.0
12,130.67415833333334,126.82532222222224,132.3289388888889,128.8632861111111,car,81.59006237983704,110.0
12,130.67415833333334,126.82532222222224,132.3289388888889,128.8632861111111,car,71.68347239494324,80.0
12,130.67415833333334,126.82532222222224,132.3289388888889,128.8632861111111,car,98.48204851150513,1716.0
13,126.52014722222222,126.00470555555556,128.26531111111112,123.29765555555556,car,99.75799918174744,27324.0
13,126.52014722222222,126.00470555555556,128.26531111111112,123.29765555555556,car,98.64867329597472,3416.0
13,126.52014722222222,126.00470555555556,128.26531111111112,123.29765555555556,car,77.80694961547852,338.0
13,126.52014722222222,126.00470555555556,128.26531111111112,123.29765555555556,car,66.52759909629822,110.0
13,126.52014722222222,126.00470555555556,128.26531111111112,123.29765555555556,car,77.74657607078552,88.0
13,126.52014722222222,126.00470555555556,128.26531111111112,123.29765555555556,car,78.7631630897522,400.0
14,145.131075,139.24089444444445,146.0597111111111,145.46640555555555,car,70.76852917671204,2691.0
15,153.55848055555555,151.08236666666667,154.64886388888888,152.27360833333333,car,99.69004988670348,6424.0
15,153.55848055555555,151.08236666666667,154.64886388888888,152.27360833333333,car,99.6810495853424,5796.0
15,153.55848055555555,151.08236666666667,154.64886388888888,152.27360833333333,car,60.05655527114868,81.0
15,153.55848055555555,151.08236666666667,154.64886388888888,152.27360833333333,car,89.90103006362915,221.0
15,153.55848055555555,151.08236666666667,154.64886388888888,152.27360833333333,car,65.89476466178894,286.0
16,97.58168611111113,91.01591666666668,100.14007222222222,95.05246666666666,car,98.11399579048155,28280.0
16,97.58168611111113,91.01591666666668,100.14007222222222,95.05246666666666,car,98.5013782978058,9882.0
16,97.58168611111113,91.01591666666668,100.14007222222222,95.05246666666666,car,92.5241231918335,336.0
16,97.58168611111113,91.01591666666668,100.14007222222222,95.05246666666666,car,94.13217306137084,924.0
16,97.58168611111113,91.01591666666668,100.14007222222222,95.05246666666666,car,88.19273710250854,2106.0
17,115.95602222222222,106.54879166666667,118.559725,114.39878333333333,,,
18,131.8415138888889,128.44058611111112,131.87662777777777,132.97480833333333,car,99.86883401870728,28560.0
18,131.8415138888889,128.44058611111112,131.87662777777777,132.97480833333333,bus,92.39444136619568,28290.0
18,131.8415138888889,128.44058611111112,131.87662777777777,132.97480833333333,car,99.0015149116516,858.0
18,131.8415138888889,128.44058611111112,131.87662777777777,132.97480833333333,car,64.8966908454895,140.0
18,131.8415138888889,128.44058611111112,131.87662777777777,132.97480833333333,car,76.8187940120697,143.0
18,131.8415138888889,128.44058611111112,131.87662777777777,132.97480833333333,car,96.80444002151488,1260.0
18,131.8415138888889,128.44058611111112,131.87662777777777,132.97480833333333,car,94.04346346855164,1360.0
19,130.1720777777778,131.88765555555557,132.14490833333332,125.61866944444444,bus,99.68304634094238,22200.0
