,Horodateur,Age,Gender,Origin,Residence,Percentage of lifetime in a city,Image1 ID,Image2 ID,Winner,Person ID
154,21/11/2021 11:40:36,21,Female,NE,Lausanne,0.865894,353,7,7,2131299.0
155,21/11/2021 11:40:39,21,Female,NE,Lausanne,0.865894,277,216,277,2131299.0
156,21/11/2021 11:40:43,21,Female,NE,Lausanne,0.865894,129,84,84,2131299.0
157,21/11/2021 11:40:46,21,Female,NE,Lausanne,0.865894,306,344,306,2131299.0
158,21/11/2021 11:40:52,21,Female,NE,Lausanne,0.865894,190,430,430,2131299.0
159,21/11/2021 11:40:55,21,Female,NE,Lausanne,0.865894,195,95,95,2131299.0
160,21/11/2021 11:40:58,21,Female,NE,Lausanne,0.865894,134,120,134,2131299.0
161,21/11/2021 11:41:01,21,Female,NE,Lausanne,0.865894,212,326,326,2131299.0
162,21/11/2021 11:41:05,21,Female,NE,Lausanne,0.865894,295,449,295,2131299.0
163,21/11/2021 11:41:07,21,Female,NE,Lausanne,0.865894,236,411,411,2131299.0
164,21/11/2021 11:41:10,21,Female,NE,Lausanne,0.865894,87,281,87,2131299.0
165,21/11/2021 11:41:13,21,Female,NE,Lausanne,0.865894,356,301,356,2131299.0
166,21/11/2021 11:41:16,21,Female,NE,Lausanne,0.865894,364,188,188,2131299.0
167,21/11/2021 11:41:18,21,Female,NE,Lausanne,0.865894,208,441,441,2131299.0
168,21/11/2021 11:41:22,21,Female,NE,Lausanne,0.865894,252,445,252,2131299.0
169,21/11/2021 11:41:24,21,Female,NE,Lausanne,0.865894,55,276,276,2131299.0
170,21/11/2021 11:41:27,21,Female,NE,Lausanne,0.865894,54,123,123,2131299.0
171,21/11/2021 11:41:29,21,Female,NE,Lausanne,0.865894,97,309,97,2131299.0
172,21/11/2021 11:41:32,21,Female,NE,Lausanne,0.865894,225,409,225,2131299.0
173,21/11/2021 11:41:35,21,Female,NE,Lausanne,0.865894,161,128,161,2131299.0
174,21/11/2021 11:41:46,21,Female,NE,Lausanne,0.865894,129,303,303,2131299.0
175,21/11/2021 11:41:50,21,Female,NE,Lausanne,0.865894,444,399,444,2131299.0
176,21/11/2021 11:41:54,21,Female,NE,Lausanne,0.865894,387,66,66,2131299.0
177,21/11/2021 11:41:57,21,Female,NE,Lausanne,0.865894,327,215,215,2131299.0
178,21/11/2021 11:42:00,21,Female,NE,Lausanne,0.865894,239,385,239,2131299.0
179,21/11/2021 11:42:03,21,Female,NE,Lausanne,0.865894,241,104,241,2131299.0
180,21/11/2021 11:42:06,21,Female,NE,Lausanne,0.865894,61,455,61,2131299.0
181,21/11/2021 11:42:08,21,Female,NE,Lausanne,0.865894,287,282,282,2131299.0
