,Image number,Object,Reliability,Size of box
1746,331,car,90.63563346862793,1271
1747,333,truck,61.833930015563965,3591
1748,333,car,93.08066368103027,272
1749,333,car,74.54318404197693,506
1750,333,car,84.5861554145813,380
1751,333,car,96.82847857475281,1376
1752,334,person,74.28953647613525,91
1753,334,car,98.4937846660614,1617
1754,334,motorbike,75.35895109176636,78
1755,334,car,99.0757703781128,1710
1756,335,car,98.88173937797546,27972
1757,335,car,84.3930721282959,81
1758,335,car,71.44913077354431,81
1759,335,car,65.34374356269836,322
1760,335,car,98.70027303695679,1886
1761,335,car,97.51426577568054,1598
1762,336,car,99.94989037513733,7770
1763,336,car,90.25866389274597,360
1764,337,car,99.63573813438416,26600
1765,337,car,76.82914733886719,130
1766,337,person,78.00053358078003,280
1767,337,car,98.34303259849548,850
1768,337,person,73.9797294139862,216
1769,337,car,88.45899701118469,912
1770,338,bicycle,60.995274782180786,7047
1771,338,person,84.41810607910156,450
1772,338,person,70.25841474533081,925
1773,339,car,99.42505955696106,8120
1774,339,car,98.69280457496643,704
1775,340,truck,99.14746880531311,99102
1776,340,car,86.08350157737732,156
1777,341,car,75.05852580070496,7995
1778,341,bicycle,65.84973931312561,7310
1779,341,bicycle,64.20614719390869,13944
1780,341,truck,73.49533438682556,1881
1781,341,car,63.11191916465759,2015
1782,341,person,82.89175033569336,250
1783,341,person,62.85645365715027,1428
1784,341,motorbike,83.99271368980408,1935
1785,342,car,75.48461556434631,132
1786,342,car,92.64653325080872,120
1787,342,car,74.32210445404053,81
1788,342,car,94.53003406524658,1260
1789,343,car,99.79101419448853,5992
1790,343,traffic light,98.25383424758911,817
1791,343,traffic light,95.4096257686615,629
1792,343,car,77.05203890800476,760
1793,343,car,98.96290302276611,1131
1794,343,car,97.58169651031494,437
1795,344,car,79.1330873966217,182
1796,344,car,97.02444672584534,800
1797,344,car,99.6985673904419,1872
1798,344,car,96.93874716758728,2516
1799,345,traffic light,99.01756048202515,288
1800,345,traffic light,63.764309883117676,55
1801,345,car,96.47109508514404,210
1802,345,car,85.30996441841125,312
1803,345,car,96.39054536819458,384
1804,346,car,80.512535572052,21112
1805,346,car,99.11984205245972,11174
1806,346,car,81.2578558921814,6440
1807,346,car,61.74185872077942,165
1808,346,car,82.56970047950745,252
1809,346,car,92.25062727928162,759
1810,346,car,96.42730951309204,880
1811,346,car,91.09989404678345,2030
1812,347,truck,83.41946005821228,17064
1813,347,bicycle,65.79914689064026,6318
1814,347,bicycle,69.37196254730225,4785
1815,347,bicycle,89.05988931655884,7056
1816,347,car,73.3508050441742,480
1817,347,car,94.92663741111755,1088
1818,348,car,62.133657932281494,4947
1819,348,car,98.79041910171509,9976
1820,349,car,96.20422124862671,3990
1821,349,car,99.6177077293396,7875
