Image number,Object,Reliability,Size of box
94,car,99.83083605766296,8100
94,car,98.5146939754486,1170
95,car,98.90950918197632,6272
95,car,73.14912676811218,154
95,car,83.72044563293457,378
95,car,77.10046768188477,483
95,car,98.8040030002594,1110
95,car,96.57650589942932,962
96,car,98.46386313438416,513
96,car,62.68501281738281,240
96,car,94.1955268383026,306
96,car,64.6024227142334,360
96,car,99.08469319343568,1066
96,car,99.29261207580566,1240
97,car,99.86675977706908,4698
97,car,95.93089818954468,6375
97,car,97.52354621887208,945
97,car,95.37991881370544,2160
98,car,99.83454942703248,5775
98,car,84.45427417755127,7128
98,car,92.38366484642027,182
98,car,60.28221845626831,143
98,car,72.4969744682312,132
98,car,98.69800806045532,1140
98,car,99.88901019096376,2688
99,person,98.82075190544128,2754
99,person,97.94270992279051,2848
99,car,63.74416947364807,70
99,car,97.6036012172699,2346
100,person,93.55103969573976,2528
100,truck,72.52609133720398,744
101,car,91.66239500045776,400
101,car,75.29030442237854,180
101,person,93.7912106513977,1210
101,skateboard,68.49926710128784,176
103,car,88.33248615264893,182
103,car,96.02124094963074,774
103,car,99.62632656097412,1184
103,person,72.39787578582764,290
104,car,99.43124055862428,1360
105,car,73.93893003463745,182
105,car,99.45884346961977,2208
106,person,67.23026037216187,232
106,car,87.7908706665039,195
106,person,60.26206612586975,351
106,car,98.26347827911376,2385
106,car,98.50751757621764,1862
107,car,98.69059920310974,7875
107,car,85.67750453948975,817
107,person,70.65824270248413,945
108,car,66.23536348342896,101104
108,bus,99.5973527431488,6417
108,motorbike,91.64999127388,5292
108,car,93.91623735427856,6149
108,car,86.87759041786194,192
108,car,74.54811334609985,340
108,car,95.9407925605774,2142
109,car,71.08264565467834,224
109,car,88.4886622428894,805
110,car,98.57159852981567,3484
110,car,65.67562222480774,64
110,car,62.36767768859863,56
110,car,76.73705816268921,110
110,car,72.64283299446106,306
111,bus,99.31415319442748,27936
112,car,99.20015931129456,3726
112,car,99.47472214698792,4536
112,car,99.3439555168152,6480
112,car,77.21837759017944,528
112,car,71.70096635818481,440
112,car,92.97227263450624,884
112,car,92.18981266021729,702
113,car,84.67249870300293,65314
113,car,93.45478415489195,5658
113,car,60.2342426776886,225
113,car,70.74964642524719,208
113,car,63.86047601699829,168
113,car,86.62746548652649,374
113,car,87.98461556434631,777
113,car,66.64692163467407,1250
114,car,96.9985842704773,988
116,car,97.48252630233765,1288
